Date,TransitAgency,Location,Type,Amount
"4/11/2026 4:05:39 PM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"4/11/2026 4:55:41 PM","GO Transit","Union Station Rail","Fare Payment","$-1.06"
"4/15/2026 5:33:43 PM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"4/15/2026 6:06:12 PM","GO Transit","Union Station Rail","Fare Payment","$-1.06"
"4/18/2026 4:57:41 PM","GO Transit","Union Station Rail","Fare Payment","$-3.70"
"4/20/2026 12:02:02 PM","Toronto Transit Commission","King St West At Shaw St","Fare Payment","$-3.30"
"4/22/2026 4:53:28 PM","GO Transit","Union Station Rail","Epurse Load","$5.00"
"4/22/2026 4:54:13 PM","GO Transit","Union Station Rail","Fare Payment","$-3.70"
"4/22/2026 5:23:06 PM","GO Transit","Weston GO Station Rail","Tap Off Automatic","$-10.22"
"4/25/2026 10:04:23 AM","GO Transit","Weston GO Station Rail","Epurse Load","$38.47"
"4/25/2026 10:12:46 AM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"4/25/2026 11:18:22 AM","GO Transit","Exhibition GO Station Rail","Fare Payment","$-1.06"
"4/26/2026 10:38:32 AM","GO Transit","Exhibition GO Station Rail","Fare Payment","$-3.70"
"4/26/2026 12:10:54 PM","GO Transit","Weston GO Station Rail","Tap Off Automatic","$-10.22"
"4/27/2026 9:29:40 AM","GO Transit","","Epurse Load","$10.22"
"4/28/2026 9:42:46 AM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"4/28/2026 10:04:35 AM","GO Transit","Union Station Rail","Fare Payment","$-1.06"
"4/28/2026 12:46:59 PM","Toronto Transit Commission","KING STATION","Fare Payment","$-3.30"
"4/29/2026 11:43:07 AM","GO Transit","Exhibition GO Station Rail","Fare Payment","$-3.70"
"4/30/2026 5:36:17 PM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"4/30/2026 6:11:55 PM","Toronto Transit Commission","Union Station - Northbound Platform Tow","Fare Payment","$3.30"
"4/30/2026 7:43:56 PM","GO Transit","Union Station Rail","Fare Payment","$-3.70"
"5/1/2026 1:13:55 PM","GO Transit","","Epurse Load","$26.49"
"5/1/2026 3:30:23 PM","Toronto Transit Commission","Weston Rd At Oxford Dr","Fare Payment","$-3.30"
"5/2/2026 11:06:28 AM","GO Transit","Weston GO Station Rail","Epurse Load","$40.00"
"5/2/2026 11:07:06 AM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"5/3/2026 11:03:36 AM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"5/3/2026 11:43:06 AM","GO Transit","Union Station Rail","Fare Payment","$-1.06"
"5/6/2026 11:23:02 AM","Toronto Transit Commission","Weston Rd at Lawrence Ave West","Fare Payment","$-2.10"
"5/6/2026 2:00:39 PM","Toronto Transit Commission","MOUNT DENNIS","Fare Payment","$-2.10"
"5/6/2026 5:33:13 PM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"5/6/2026 6:35:11 PM","GO Transit","Danforth GO Station Rail","Fare Payment","$-4.21"
"5/7/2026 10:41:28 AM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"5/7/2026 11:08:06 AM","GO Transit","Union Station Rail","Fare Payment","$-1.06"
"5/8/2026 11:02:53 AM","Toronto Transit Commission","King St West At Shaw St","Fare Payment","$-2.10"
"5/8/2026 1:35:31 PM","Toronto Transit Commission","FAIRBANK","Fare Payment","$-2.10"
"5/11/2026 1:41:45 PM","Toronto Transit Commission","Weston Rd at Lawrence Ave West","Fare Payment","$-2.10"
"5/11/2026 4:28:40 PM","Toronto Transit Commission","MOUNT DENNIS","Fare Payment","$-2.10"
"5/12/2026 10:56:25 AM","Toronto Transit Commission","Weston Rd at Lawrence Ave West","Fare Payment","$-2.10"
"5/12/2026 1:34:39 PM","Toronto Transit Commission","King St West At Atlantic Ave","Fare Payment","$-2.10"
"5/13/2026 5:15:01 PM","GO Transit","Weston GO Station Rail","Epurse Load","$10.00"
"5/13/2026 5:15:26 PM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"5/13/2026 6:05:23 PM","GO Transit","Union Station Rail","Fare Payment","$-1.06"
"5/13/2026 10:18:02 PM","Toronto Transit Commission","Union Station - Northbound Platform Tow","Fare Payment","$-2.10"
"5/14/2026 12:21:03 PM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"5/14/2026 1:26:38 PM","GO Transit","Exhibition GO Station Rail","Fare Payment","$-1.06"
"5/15/2026 12:39:52 PM","GO Transit","Exhibition GO Station Rail","Epurse Load","$10.00"
"5/15/2026 12:49:23 PM","GO Transit","Exhibition GO Station Rail","Fare Payment","$-3.70"
"5/15/2026 1:58:33 PM","GO Transit","Weston GO Station Rail","Fare Payment","$-1.06"
"5/16/2026 10:52:28 AM","Toronto Transit Commission","MOUNT DENNIS","Fare Payment","$-2.10"
"5/16/2026 2:24:57 PM","Toronto Transit Commission","MAIN STREET STATION","Fare Payment","$-2.10"
"5/17/2026 11:28:53 AM","Toronto Transit Commission","0","Fare Payment","$-2.10"
"5/18/2026 9:59:31 AM","GO Transit","Exhibition GO Station Rail","Epurse Load","$5.00"
"5/18/2026 10:02:08 AM","GO Transit","Exhibition GO Station Rail","Fare Payment","$-3.70"
"5/19/2026 1:54:16 PM","Toronto Transit Commission","Eglinton Ave West at Walkway to Rangoon","Fare Payment","$-2.10"
"5/20/2026 6:33:48 PM","GO Transit","Exhibition GO Station Rail","Epurse Load","$5.00"
"5/20/2026 6:34:04 PM","GO Transit","Exhibition GO Station Rail","Fare Payment","$-3.70"
"5/20/2026 7:20:56 PM","GO Transit","Mount Dennis GO Station Rail","Fare Payment","$-0.17"
"5/21/2026 7:01:21 PM","GO Transit","Exhibition GO Station Rail","Epurse Load","$5.00"
"5/21/2026 7:01:41 PM","GO Transit","Exhibition GO Station Rail","Fare Payment","$-3.70"
"5/21/2026 7:56:23 PM","GO Transit","Weston GO Station Rail","Fare Payment","$-1.06"
"5/22/2026 10:41:40 AM","GO Transit","Weston GO Station Rail","Epurse Load","$5.00"
"5/22/2026 10:41:58 AM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"5/22/2026 11:39:45 AM","GO Transit","Exhibition GO Station Rail","Fare Payment","$-1.06"
"5/23/2026 9:20:37 PM","GO Transit","Exhibition GO Station Rail","Epurse Load","$5.00"
"5/23/2026 9:32:59 PM","Toronto Transit Commission","King St West At Atlantic Ave","Fare Payment","$-2.10"
"5/25/2026 3:13:12 PM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"5/25/2026 3:34:23 PM","GO Transit","Union Station Rail","Fare Payment","$-1.06"
"5/25/2026 10:03:32 PM","GO Transit","Exhibition GO Station Rail","Epurse Load","$5.00"
"5/25/2026 10:03:44 PM","GO Transit","Exhibition GO Station Rail","Fare Payment","$-3.70"
"5/25/2026 10:52:41 PM","GO Transit","Mount Dennis GO Station Rail","Fare Payment","$-0.17"
"5/26/2026 7:05:17 PM","GO Transit","Weston GO Station Rail","Epurse Load","$10.00"
"5/27/2026 9:07:24 AM","Toronto Transit Commission","Weston Rd at Lawrence Ave West","Fare Payment","$-2.10"
"5/27/2026 12:38:04 PM","Toronto Transit Commission","EGLINTON STATION","Fare Payment","$-2.10"
"5/27/2026 3:20:50 PM","Toronto Transit Commission","MAIN STREET STATION","Fare Payment","$-2.10"
"5/28/2026 5:40:44 AM","GO Transit","Weston GO Station Rail","Epurse Load","$5.00"
"5/28/2026 5:42:28 AM","GO Transit","Weston GO Station Rail","Epurse Load","$1.90"
"5/28/2026 5:42:47 AM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"5/28/2026 6:36:50 AM","GO Transit","Union Station Rail","Fare Payment","$-1.06"
"5/28/2026 6:35:26 PM","Toronto Transit Commission","SHERBOURNE STATION","Fare Payment","$-2.10"
"5/28/2026 9:40:46 PM","Toronto Transit Commission","CHESTER STATION","Fare Payment","$-2.10"
"5/29/2026 4:16:31 PM","GO Transit","Weston GO Station Rail","Epurse Load","$10.00"
